HLPIName,seriesReference,quarter,HLPI,NZHEC,NZHECName,NZHECShort,level,index,quarterlyChange,annualChange
Expenditure quintile 1 (low),HPIQ.SEQ1082,2009Q2,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4019,-0.4,-10.7
Expenditure quintile 1 (low),HPIQ.SEQ1082,2009Q3,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3979,-1.0,-9.2
Expenditure quintile 1 (low),HPIQ.SEQ1082,2009Q4,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3796,-4.6,-6.9
Expenditure quintile 1 (low),HPIQ.SEQ1082,2010Q1,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3574,-5.8,-11.5
Expenditure quintile 1 (low),HPIQ.SEQ1082,2010Q2,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3426,-4.1,-14.8
Expenditure quintile 1 (low),HPIQ.SEQ1082,2010Q3,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3263,-4.8,-18.0
Expenditure quintile 1 (low),HPIQ.SEQ1082,2010Q4,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3064,-6.1,-19.3
Expenditure quintile 1 (low),HPIQ.SEQ1082,2011Q1,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2903,-5.3,-18.8
Expenditure quintile 1 (low),HPIQ.SEQ1082,2011Q2,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2718,-6.4,-20.7
Expenditure quintile 1 (low),HPIQ.SEQ1082,2011Q3,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2451,-9.8,-24.9
Expenditure quintile 1 (low),HPIQ.SEQ1082,2011Q4,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2219,-9.5,-27.6
Expenditure quintile 1 (low),HPIQ.SEQ1091,2008Q2,expq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2260,0.0,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1091,2008Q3,expq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2123,-6.1,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1091,2008Q4,expq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2048,-3.5,0.0
Expenditure quintile 2,HPIQ.SEQ2022,2023Q1,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2099,7.6,8.4
Expenditure quintile 2,HPIQ.SEQ2022,2023Q2,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2101,0.1,8.4
Expenditure quintile 2,HPIQ.SEQ2022,2023Q3,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2113,0.6,9.0
Expenditure quintile 2,HPIQ.SEQ2061,2023Q3,expq2,6.1,Medical products, appliances and equipment,Medical products,subgroup,788,-25.2,-23.0
Expenditure quintile 2,HPIQ.SEQ2082,2008Q2,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3184,0.0,0.0
Expenditure quintile 2,HPIQ.SEQ2082,2008Q3,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3119,-2.0,0.0
Expenditure quintile 2,HPIQ.SEQ2082,2008Q4,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2956,-5.2,0.0
Expenditure quintile 2,HPIQ.SEQ2082,2009Q1,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2918,-1.3,0.0
Expenditure quintile 2,HPIQ.SEQ2082,2009Q2,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2903,-0.5,-8.8
Expenditure quintile 2,HPIQ.SEQ2082,2009Q3,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2910,0.2,-6.7
Expenditure quintile 2,HPIQ.SEQ2082,2009Q4,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2797,-3.9,-5.4
Expenditure quintile 2,HPIQ.SEQ2082,2010Q1,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2656,-5.0,-9.0
Expenditure quintile 2,HPIQ.SEQ2082,2010Q2,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2573,-3.1,-11.4
Expenditure quintile 2,HPIQ.SEQ2082,2010Q3,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2503,-2.7,-14.0
Expenditure quintile 2,HPIQ.SEQ2082,2010Q4,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2390,-4.5,-14.6
Expenditure quintile 2,HPIQ.SEQ2082,2011Q1,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2291,-4.1,-13.7
Expenditure quintile 2,HPIQ.SEQ2082,2011Q2,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2192,-4.3,-14.8
Expenditure quintile 2,HPIQ.SEQ2091,2008Q2,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2328,0.0,0.0
Expenditure quintile 2,HPIQ.SEQ2091,2008Q3,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2195,-5.7,0.0
Expenditure quintile 2,HPIQ.SEQ2091,2008Q4,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2123,-3.3,0.0
Expenditure quintile 2,HPIQ.SEQ2091,2009Q1,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2063,-2.8,0.0
Expenditure quintile 2,HPIQ.SEQ2091,2009Q2,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2063,0.0,-11.4
Expenditure quintile 2,HPIQ.SEQ2091,2009Q3,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2018,-2.2,-8.1
Expenditure quintile 3,HPIQ.SEQ3022,2023Q1,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2104,7.6,8.4
Expenditure quintile 3,HPIQ.SEQ3022,2023Q2,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2106,0.1,8.4
Expenditure quintile 3,HPIQ.SEQ3022,2023Q3,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2119,0.6,9.1
Expenditure quintile 3,HPIQ.SEQ3082,2008Q2,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4169,0.0,0.0
Expenditure quintile 3,HPIQ.SEQ3082,2008Q3,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4046,-3.0,0.0
Expenditure quintile 3,HPIQ.SEQ3082,2008Q4,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3726,-7.9,0.0
Expenditure quintile 3,HPIQ.SEQ3082,2009Q1,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3695,-0.8,0.0
Expenditure quintile 3,HPIQ.SEQ3082,2009Q2,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3680,-0.4,-11.7
Expenditure quintile 3,HPIQ.SEQ3082,2009Q3,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3619,-1.7,-10.6
Expenditure quintile 3,HPIQ.SEQ3082,2009Q4,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3436,-5.1,-7.8
Expenditure quintile 3,HPIQ.SEQ3082,2010Q1,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3216,-6.4,-13.0
Expenditure quintile 3,HPIQ.SEQ3082,2010Q2,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3063,-4.8,-16.8
Expenditure quintile 3,HPIQ.SEQ3082,2010Q3,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2882,-5.9,-20.4
Expenditure quintile 3,HPIQ.SEQ3082,2010Q4,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2676,-7.1,-22.1
Expenditure quintile 3,HPIQ.SEQ3082,2011Q1,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2515,-6.0,-21.8
Expenditure quintile 3,HPIQ.SEQ3082,2011Q2,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2322,-7.7,-24.2
Expenditure quintile 3,HPIQ.SEQ3082,2011Q3,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2110,-9.1,-26.8
Expenditure quintile 3,HPIQ.SEQ3091,2008Q2,expq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2175,0.0,0.0
Expenditure quintile 3,HPIQ.SEQ3091,2008Q3,expq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2068,-4.9,0.0
Expenditure quintile 3,HPIQ.SEQ3091,2008Q4,expq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2001,-3.2,0.0
Expenditure quintile 4,HPIQ.SEQ4022,2023Q1,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2105,7.5,8.3
Expenditure quintile 4,HPIQ.SEQ4022,2023Q2,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2108,0.1,8.3
Expenditure quintile 4,HPIQ.SEQ4022,2023Q3,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2120,0.6,8.9
Expenditure quintile 4,HPIQ.SEQ4082,2008Q2,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3833,0.0,0.0
Expenditure quintile 4,HPIQ.SEQ4082,2008Q3,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3723,-2.9,0.0
Expenditure quintile 4,HPIQ.SEQ4082,2008Q4,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3452,-7.3,0.0
Expenditure quintile 4,HPIQ.SEQ4082,2009Q1,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3422,-0.9,0.0
Expenditure quintile 4,HPIQ.SEQ4082,2009Q2,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3407,-0.4,-11.1
Expenditure quintile 4,HPIQ.SEQ4082,2009Q3,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3366,-1.2,-9.6
Expenditure quintile 4,HPIQ.SEQ4082,2009Q4,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3203,-4.8,-7.2
Expenditure quintile 4,HPIQ.SEQ4082,2010Q1,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3007,-6.1,-12.1
Expenditure quintile 4,HPIQ.SEQ4082,2010Q2,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2875,-4.4,-15.6
Expenditure quintile 4,HPIQ.SEQ4082,2010Q3,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2731,-5.0,-18.9
Expenditure quintile 4,HPIQ.SEQ4082,2010Q4,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2553,-6.5,-20.3
Expenditure quintile 4,HPIQ.SEQ4082,2011Q1,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2414,-5.4,-19.7
Expenditure quintile 4,HPIQ.SEQ4082,2011Q2,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2251,-6.8,-21.7
Expenditure quintile 4,HPIQ.SEQ4082,2011Q3,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2048,-9.0,-25.0
Expenditure quintile 4,HPIQ.SEQ4091,2008Q2,expq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2154,0.0,0.0
Expenditure quintile 4,HPIQ.SEQ4091,2008Q3,expq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2035,-5.5,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5022,2023Q1,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2097,7.4,8.4
Expenditure quintile 5 (high),HPIQ.SEQ5022,2023Q2,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2099,0.1,8.5
Expenditure quintile 5 (high),HPIQ.SEQ5022,2023Q3,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2109,0.5,8.8
Expenditure quintile 5 (high),HPIQ.SEQ5082,2008Q2,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4422,0.0,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2008Q3,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4292,-2.9,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2008Q4,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3968,-7.5,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2009Q1,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3936,-0.8,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2009Q2,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3920,-0.4,-11.4
Expenditure quintile 5 (high),HPIQ.SEQ5082,2009Q3,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3866,-1.4,-9.9
Expenditure quintile 5 (high),HPIQ.SEQ5082,2009Q4,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3676,-4.9,-7.4
Expenditure quintile 5 (high),HPIQ.SEQ5082,2010Q1,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3446,-6.3,-12.4
Expenditure quintile 5 (high),HPIQ.SEQ5082,2010Q2,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3290,-4.5,-16.1
Expenditure quintile 5 (high),HPIQ.SEQ5082,2010Q3,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3115,-5.3,-19.4
Expenditure quintile 5 (high),HPIQ.SEQ5082,2010Q4,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2904,-6.8,-21.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2011Q1,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2741,-5.6,-20.5
Expenditure quintile 5 (high),HPIQ.SEQ5082,2011Q2,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2548,-7.0,-22.6
Expenditure quintile 5 (high),HPIQ.SEQ5082,2011Q3,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2304,-9.6,-26.0
Expenditure quintile 5 (high),HPIQ.SEQ5082,2011Q4,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2095,-9.1,-27.9
Expenditure quintile 5 (high),HPIQ.SEQ5091,2008Q2,expq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2176,0.0,0.0
Expenditure quintile 5 (high),HPIQ.SEQ5091,2008Q3,expq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2060,-5.3,0.0
Income quintile 1 (low),HPIQ.SIQ1022,2023Q1,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2098,7.6,8.4
Income quintile 1 (low),HPIQ.SIQ1022,2023Q2,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2100,0.1,8.4
Income quintile 1 (low),HPIQ.SIQ1022,2023Q3,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2112,0.6,8.9
Income quintile 1 (low),HPIQ.SIQ1082,2008Q2,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3742,0.0,0.0
Income quintile 1 (low),HPIQ.SIQ1082,2008Q3,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3664,-2.1,0.0
Income quintile 1 (low),HPIQ.SIQ1082,2008Q4,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3470,-5.3,0.0
Income quintile 1 (low),HPIQ.SIQ1082,2009Q1,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3427,-1.2,0.0
Income quintile 1 (low),HPIQ.SIQ1082,2009Q2,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3411,-0.5,-8.8
Income quintile 1 (low),HPIQ.SIQ1082,2009Q3,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3415,0.1,-6.8
Income quintile 1 (low),HPIQ.SIQ1082,2009Q4,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3288,-3.7,-5.2
Income quintile 1 (low),HPIQ.SIQ1082,2010Q1,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3126,-4.9,-8.8
Income quintile 1 (low),HPIQ.SIQ1082,2010Q2,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3030,-3.1,-11.2
Income quintile 1 (low),HPIQ.SIQ1082,2010Q3,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2939,-3.0,-13.9
Income quintile 1 (low),HPIQ.SIQ1082,2010Q4,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2807,-4.5,-14.6
Income quintile 1 (low),HPIQ.SIQ1082,2011Q1,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2690,-4.2,-13.9
Income quintile 1 (low),HPIQ.SIQ1082,2011Q2,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2573,-4.3,-15.1
Income quintile 1 (low),HPIQ.SIQ1082,2011Q3,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2326,-9.6,-20.9
Income quintile 1 (low),HPIQ.SIQ1082,2011Q4,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2116,-9.0,-24.6
Income quintile 1 (low),HPIQ.SIQ1091,2008Q2,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2372,0.0,0.0
Income quintile 1 (low),HPIQ.SIQ1091,2008Q3,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2207,-7.0,0.0
Income quintile 1 (low),HPIQ.SIQ1091,2008Q4,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2128,-3.6,0.0
Income quintile 1 (low),HPIQ.SIQ1091,2009Q1,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2035,-4.4,0.0
Income quintile 1 (low),HPIQ.SIQ1091,2009Q2,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2025,-0.5,-14.6
Income quintile 1 (low),HPIQ.SIQ1101,2011Q1,disq1,10.1,Early childhood education,Early childhood education,subgroup,922,20.5,30.6
Income quintile 2,HPIQ.SIQ2022,2023Q1,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2100,7.6,8.4
Income quintile 2,HPIQ.SIQ2022,2023Q2,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2102,0.1,8.4
Income quintile 2,HPIQ.SIQ2022,2023Q3,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2115,0.6,9.1
Income quintile 2,HPIQ.SIQ2082,2008Q2,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3495,0.0,0.0
Income quintile 2,HPIQ.SIQ2082,2008Q3,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3403,-2.6,0.0
Income quintile 2,HPIQ.SIQ2082,2008Q4,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3167,-6.9,0.0
Income quintile 2,HPIQ.SIQ2082,2009Q1,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3134,-1.0,0.0
Income quintile 2,HPIQ.SIQ2082,2009Q2,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3120,-0.4,-10.7
Income quintile 2,HPIQ.SIQ2082,2009Q3,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3090,-1.0,-9.2
Income quintile 2,HPIQ.SIQ2082,2009Q4,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2945,-4.7,-7.0
Income quintile 2,HPIQ.SIQ2082,2010Q1,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2771,-5.9,-11.6
Income quintile 2,HPIQ.SIQ2082,2010Q2,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2656,-4.2,-14.9
Income quintile 2,HPIQ.SIQ2082,2010Q3,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2531,-4.7,-18.1
Income quintile 2,HPIQ.SIQ2082,2010Q4,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2376,-6.1,-19.3
Income quintile 2,HPIQ.SIQ2082,2011Q1,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2250,-5.3,-18.8
Income quintile 2,HPIQ.SIQ2082,2011Q2,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2106,-6.4,-20.7
Income quintile 2,HPIQ.SIQ2091,2008Q2,disq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2196,0.0,0.0
